iter	Passed	Remaining
0	172	172587
1	178	88857
2	183	61080
3	188	46946
4	194	38656
5	200	33149
6	205	29122
7	211	26201
8	216	23836
9	221	21958
10	227	20437
11	232	19132
12	238	18072
13	243	17174
14	248	16325
15	254	15630
16	258	14972
17	263	14383
18	270	13981
19	275	13505
20	282	13162
21	287	12766
22	292	12406
23	298	12139
24	303	11837
25	309	11587
26	313	11279
27	316	10971
28	318	10669
29	320	10376
30	323	10111
31	325	9854
32	327	9601
33	329	9361
34	331	9139
35	333	8926
36	334	8715
37	336	8520
38	338	8341
39	340	8164
40	341	7990
41	343	7827
42	344	7677
43	346	7527
44	347	7385
45	349	7247
46	351	7126
47	353	7004
48	354	6883
49	356	6770
50	358	6662
51	360	6563
52	361	6459
53	362	6357
54	364	6264
55	366	6172
56	367	6084
57	369	5998
58	370	5914
59	372	5835
60	373	5756
61	375	5678
62	376	5605
63	378	5532
64	381	5487
65	383	5426
66	385	5361
67	386	5301
68	388	5241
69	389	5179
70	391	5117
71	392	5057
72	393	5000
73	396	4967
74	399	4922
75	400	4871
76	402	4820
77	403	4771
78	405	4721
79	406	4672
80	408	4630
81	409	4588
82	410	4539
83	413	4507
84	415	4468
85	416	4425
86	417	4385
87	419	4345
88	420	4307
89	422	4272
90	424	4238
91	426	4210
92	428	4181
93	430	4147
94	431	4112
95	433	4079
96	434	4045
97	436	4015
98	437	3982
99	439	3952
100	441	3928
101	443	3903
102	444	3873
103	446	3843
104	447	3815
105	449	3787
106	450	3763
107	452	3736
108	454	3711
109	456	3694
110	458	3672
111	459	3646
112	461	3621
113	462	3598
114	464	3574
115	466	3551
116	467	3526
117	468	3503
118	470	3486
119	472	3464
120	473	3442
121	475	3419
122	476	3398
123	478	3377
124	479	3356
125	480	3336
126	482	3314
127	484	3297
128	486	3285
129	488	3266
130	489	3247
131	491	3229
132	492	3210
133	493	3192
134	495	3175
135	497	3157
136	498	3143
137	500	3127
138	502	3112
139	504	3096
140	505	3080
141	506	3061
142	508	3046
143	510	3037
144	512	3021
145	514	3006
146	515	2991
147	516	2976
148	518	2961
149	520	2946
150	521	2932
151	523	2920
152	525	2908
153	526	2894
154	528	2880
155	529	2866
156	531	2851
157	532	2838
158	534	2824
159	535	2811
160	536	2795
161	538	2785
162	540	2773
163	541	2760
164	542	2747
165	544	2735
166	545	2722
167	547	2710
168	548	2698
169	550	2686
170	551	2675
171	553	2666
172	555	2655
173	556	2643
174	558	2632
175	559	2621
176	561	2609
177	562	2598
178	564	2587
179	565	2577
180	567	2567
181	569	2557
182	570	2546
183	571	2536
184	573	2525
185	574	2514
186	576	2504
187	577	2494
188	578	2484
189	580	2474
190	581	2465
191	583	2456
192	585	2447
193	586	2437
194	588	2428
195	589	2420
196	591	2410
197	592	2401
198	594	2391
199	595	2382
200	597	2373
201	599	2366
202	600	2358
203	602	2349
204	603	2340
205	604	2331
206	606	2323
207	607	2314
208	609	2306
209	610	2298
210	612	2290
211	614	2283
212	615	2275
213	617	2267
214	618	2259
215	620	2251
216	621	2243
217	623	2234
218	624	2226
219	625	2218
220	627	2211
221	629	2204
222	630	2197
223	631	2189
224	633	2181
225	634	2173
226	636	2166
227	637	2158
228	638	2151
229	640	2143
230	641	2136
231	644	2132
232	645	2125
233	647	2117
234	648	2110
235	649	2103
236	651	2096
237	652	2089
238	654	2082
239	655	2075
240	657	2069
241	659	2064
242	660	2057
243	662	2051
244	663	2044
245	665	2038
246	666	2031
247	667	2025
248	669	2018
249	670	2011
250	672	2008
251	674	2002
252	676	1996
253	677	1990
254	678	1983
255	680	1977
256	681	1970
257	683	1964
258	684	1958
259	686	1952
260	687	1947
261	689	1941
262	690	1935
263	692	1929
264	693	1923
265	695	1917
266	696	1912
267	697	1906
268	699	1900
269	700	1894
270	702	1889
271	704	1884
272	705	1878
273	707	1873
274	708	1867
275	709	1862
276	711	1856
277	712	1850
278	714	1845
279	715	1839
280	717	1835
281	718	1830
282	720	1824
283	721	1820
284	723	1814
285	724	1809
286	726	1804
287	727	1799
288	729	1794
289	731	1789
290	733	1786
291	734	1781
292	736	1777
293	738	1772
294	739	1767
295	741	1762
296	742	1758
297	744	1753
298	745	1748
299	747	1744
300	749	1740
301	750	1735
302	752	1730
303	753	1725
304	755	1720
305	756	1716
306	758	1711
307	759	1706
308	760	1701
309	762	1697
310	764	1693
311	766	1689
312	767	1685
313	769	1680
314	770	1676
315	772	1671
316	773	1667
317	775	1662
318	776	1658
319	778	1655
320	780	1650
321	781	1646
322	783	1641
323	784	1636
324	786	1632
325	787	1628
326	788	1623
327	790	1619
328	793	1618
329	794	1613
330	796	1609
331	797	1605
332	799	1600
333	800	1596
334	802	1592
335	803	1587
336	805	1583
337	806	1580
338	808	1576
339	809	1571
340	811	1567
341	812	1563
342	813	1558
343	815	1554
344	816	1550
345	818	1546
346	819	1542
347	821	1538
348	822	1534
349	824	1530
350	825	1526
351	827	1522
352	828	1518
353	830	1514
354	831	1510
355	833	1506
356	834	1502
357	836	1499
358	838	1497
359	840	1493
360	841	1489
361	843	1485
362	844	1481
363	845	1477
364	847	1474
365	848	1470
366	850	1466
367	853	1465
368	855	1463
369	857	1459
370	858	1455
371	859	1451
372	861	1448
373	862	1444
374	864	1440
375	865	1436
376	867	1433
377	869	1430
378	870	1426
379	872	1422
380	873	1419
381	875	1415
382	876	1412
383	878	1408
384	879	1405
385	881	1402
386	884	1400
387	886	1398
388	888	1395
389	890	1392
390	892	1389
391	893	1385
392	895	1382
393	897	1379
394	898	1376
395	900	1373
396	901	1369
397	903	1366
398	904	1363
399	906	1359
400	907	1355
401	909	1352
402	910	1348
403	912	1346
404	914	1343
405	915	1339
406	917	1336
407	918	1332
408	920	1329
409	921	1325
410	922	1322
411	924	1319
412	925	1315
